run_id,benchmark,model,task_id,mechanism,active_arm,clean_success,active_success,paired_difference
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-162::t7/r0,name-recall,active_name_recall,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-164::t7/r0,name-recall,active_name_recall,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-171::t7/r0,name-recall,active_name_recall,0.0,1.0,1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-173::t7/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-186::t7/r0,name-recall,active_name_recall,1.0,0.0,-1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-188::t7/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-60::t7/r0,name-recall,active_name_recall,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-62::t7/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-63::t7/r0,name-recall,active_name_recall,0.0,1.0,1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-70::t7/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-80::t7/r0,name-recall,active_name_recall,1.0,0.0,-1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-87::t7/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-90::t7/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-95::t7/r0,name-recall,active_name_recall,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-100::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-1021::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-115::t7/r0,counter,active_counter,0.0,1.0,1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-118::t7/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-152::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-154::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-162::t7/r0,counter,active_counter,1.0,0.0,-1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-164::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-171::t7/r0,counter,active_counter,0.0,1.0,1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-173::t7/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-186::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-188::t7/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-60::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-62::t7/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-63::t7/r0,counter,active_counter,0.0,1.0,1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-70::t7/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-80::t7/r0,counter,active_counter,1.0,0.0,-1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-87::t7/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-90::t7/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-95::t7/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-100::t7/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-1021::t7/r0,recompute,active_recompute,1.0,0.0,-1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-115::t7/r0,recompute,active_recompute,0.0,1.0,1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-118::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-152::t7/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-154::t7/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-162::t7/r0,recompute,active_recompute,1.0,0.0,-1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-164::t7/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-171::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-173::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-186::t7/r0,recompute,active_recompute,1.0,0.0,-1.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-188::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-60::t7/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-62::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-63::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-70::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-80::t7/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-87::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-90::t7/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-evolving-allarms-allmodels-v1,evolving_intent_gsm8k,gpt-5.6-terra,extracted-gsm8k-test-95::t7/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_10::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_11::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_12::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_13::official_native_tools/r0,name-copy,active_name_copy,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_14::official_native_tools/r0,name-copy,active_name_copy,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_10::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_11::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_12::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_13::official_native_tools/r0,name-copy,active_name_copy,0.0,1.0,1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_14::official_native_tools/r0,name-copy,active_name_copy,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_10::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_11::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_12::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_13::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_14::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_10::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_11::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_12::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_13::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_14::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_10::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_11::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_12::official_native_tools/r0,name-recall,active_name_recall,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_13::official_native_tools/r0,name-recall,active_name_recall,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_14::official_native_tools/r0,name-recall,active_name_recall,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_10::official_native_tools/r0,name-recall,active_name_recall,0.0,1.0,1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_11::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_12::official_native_tools/r0,name-recall,active_name_recall,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_13::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_14::official_native_tools/r0,name-recall,active_name_recall,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_10::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_11::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_12::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_13::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_14::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_10::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_11::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_12::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_13::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_14::official_native_tools/r0,name-recall,active_name_recall,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_10::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_11::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_12::official_native_tools/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_13::official_native_tools/r0,counter,active_counter,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_14::official_native_tools/r0,counter,active_counter,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_10::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_11::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_12::official_native_tools/r0,counter,active_counter,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_13::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_14::official_native_tools/r0,counter,active_counter,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_10::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_11::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_12::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_13::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_14::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_10::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_11::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_12::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_13::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_14::official_native_tools/r0,counter,active_counter,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_10::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_11::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_12::official_native_tools/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_13::official_native_tools/r0,recompute,active_recompute,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_base_14::official_native_tools/r0,recompute,active_recompute,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_10::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_11::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_12::official_native_tools/r0,recompute,active_recompute,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_13::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_long_context_14::official_native_tools/r0,recompute,active_recompute,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_10::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_11::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_12::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_13::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_func_14::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_10::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_11::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_12::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_13::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,multi_turn_miss_param_14::official_native_tools/r0,recompute,active_recompute,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_base_10::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_base_11::official_native_tools/r0,name-copy,active_name_copy,0.0,1.0,1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_base_12::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_base_13::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_base_14::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_long_context_10::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_long_context_11::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_long_context_12::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_long_context_13::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_long_context_14::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_func_10::official_native_tools/r0,name-copy,active_name_copy,1.0,0.0,-1.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_func_11::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_func_12::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_func_13::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_func_14::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_param_10::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_param_11::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_param_12::official_native_tools/r0,name-copy,active_name_copy,1.0,1.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_param_13::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,multi_turn_miss_param_14::official_native_tools/r0,name-copy,active_name_copy,0.0,0.0,0.0
